C1,C2,Bounty,Strength
9s,Js,7,0.63625
Js,As,6,0.63625
8s,Ah,3,0.635625
9s,Jh,5,0.635625
7s,7h,Q,0.635
6s,Ks,2,0.63375
6s,Ks,K,0.63375
Js,Ah,8,0.63375
5s,As,A,0.633125
7s,Ah,8,0.633125
6s,Ks,6,0.6325
7s,As,5,0.6325
8s,Qh,Q,0.6325
8s,Ks,2,0.6325
9s,Js,6,0.6325
9s,Ks,6,0.6325
Js,Qs,A,0.6325
Js,Ah,2,0.6325
3s,As,8,0.631875
8s,Ah,7,0.631875
Ts,Qs,4,0.631875
Ts,Qs,J,0.631875
Ts,Qs,Q,0.631875
Js,Qs,9,0.63125
Js,Ah,T,0.63
Qs,Ks,8,0.63
Js,Kh,6,0.629375
3s,As,2,0.628125
5s,As,4,0.6275
6s,6h,A,0.6275
8s,As,T,0.6275
Ks,Ah,Q,0.6275
Qs,Ks,9,0.626875
Js,Kh,2,0.62625
Ks,Ah,9,0.62625
8s,Ah,6,0.625
Ts,Js,6,0.625
6s,Ks,Q,0.62375
7s,Ks,4,0.62375
7s,Ah,J,0.62375
7s,As,K,0.62375
Ts,Kh,8,0.62375
Ts,Ks,9,0.62375
4s,Ah,J,0.623125
9s,Kh,T,0.623125
Js,Kh,A,0.623125
4s,As,T,0.6225
5s,As,J,0.6225
8s,Js,6,0.6225
9s,Js,3,0.6225
Js,Kh,3,0.6225
8s,Qs,8,0.621875
8s,Ks,3,0.621875
8s,Ks,6,0.621875
9s,Ah,8,0.621875
2s,As,K,0.62125
5s,Ah,2,0.62125
Js,Qs,3,0.62125
Js,Ks,2,0.620625
Ts,Ah,2,0.62
Ts,Ah,9,0.62
Js,As,Q,0.62
9s,Jh,6,0.619375
Js,Ks,J,0.619375
4s,Ah,3,0.61875
Ts,Kh,K,0.61875
3s,As,4,0.618125
5s,5h,4,0.618125
Ts,Js,T,0.618125
Ts,Ks,K,0.618125
7s,Ks,A,0.6175
2s,As,3,0.616875
4s,4h,8,0.61625
5s,5h,6,0.61625
5s,Ah,8,0.61625
7s,7h,9,0.61625
7s,Qs,3,0.61625
7s,As,8,0.61625
7s,As,9,0.61625
7s,As,Q,0.61625
9s,Qh,4,0.61625
Ts,Qs,3,0.61625
6s,As,J,0.615625
9s,Qs,J,0.615625
4s,As,K,0.615
8s,Kh,6,0.615
9s,Kh,J,0.615
5s,As,6,0.614375
9s,Ks,8,0.614375
2s,Ks,3,0.61375
5s,Ah,7,0.61375
7s,Kh,7,0.61375
8s,Ks,J,0.61375
Qs,Kh,K,0.61375
4s,As,3,0.613125
6s,6h,5,0.613125
7s,Ah,4,0.613125
8s,9s,2,0.613125
6s,As,Q,0.6125
Ts,Jh,A,0.6125
Js,Ks,8,0.6125
8s,Ks,A,0.611875
9s,Kh,4,0.611875
4s,As,Q,0.61125
6s,Ks,A,0.61125
8s,Qs,2,0.61125
8s,Kh,J,0.610625
9s,Jh,Q,0.610625
Ts,Js,A,0.610625
4s,4h,2,0.61
4s,Ks,6,0.61
7s,Ah,2,0.61
9s,Js,K,0.61
Js,Qs,T,0.61
7s,Ks,5,0.609375
7s,Ah,3,0.609375
8s,As,7,0.609375
3s,Ah,4,0.60875
Ts,Jh,4,0.60875
Ts,Qs,8,0.60875
Ts,Kh,J,0.60875
2s,Ks,4,0.608125
2s,As,4,0.608125
6s,Kh,K,0.608125
6s,Ah,9,0.6075
7s,Ks,K,0.6075
8s,Ah,2,0.6075
9s,As,T,0.6075
Ts,Ks,A,0.6075
7s,Ks,8,0.60625
8s,Kh,8,0.60625
9s,Qh,3,0.60625
Ts,Qs,T,0.60625
4s,Qs,J,0.605625
7s,As,A,0.605625
7s,Ah,A,0.605625
8s,As,4,0.605625
Ts,Qh,6,0.605625
Ts,Ah,J,0.605625
3s,Ks,6,0.605
6s,6h,Q,0.605
2s,As,J,0.604375
3s,As,J,0.604375
3s,As,A,0.604375
4s,Qs,4,0.604375
5s,Ks,A,0.604375
Qs,Kh,Q,0.604375
2s,Ah,J,0.60375
7s,Qs,K,0.60375
9s,Ks,K,0.60375
Ts,Js,8,0.60375
Ts,Qs,5,0.60375
Ts,Ah,8,0.60375
2s,As,5,0.603125
6s,Ks,T,0.603125
Qs,Kh,A,0.603125
5s,Qs,A,0.6025
5s,Ah,4,0.6025
5s,Ah,J,0.6025
9s,Ks,4,0.6025
Ts,Ks,5,0.6025
Ts,Kh,A,0.6025
Js,Ks,T,0.6025
9s,Ks,A,0.601875
Ts,Qh,2,0.601875
Qs,Kh,5,0.601875
2s,Kh,9,0.60125
5s,Kh,J,0.60125
3s,Kh,8,0.600625
9s,Ks,5,0.600625
9s,Kh,A,0.600625
Ts,Kh,5,0.600625
Qs,Ah,7,0.600625
5s,5h,5,0.6
5s,Ks,7,0.6
9s,Qs,7,0.6
9s,Ks,3,0.6
Ts,Jh,K,0.6
Ts,As,8,0.6
5s,Ah,6,0.599375
8s,As,A,0.599375
5s,Ks,4,0.59875
6s,Ah,6,0.59875
8s,Ks,Q,0.59875
9s,Qh,K,0.59875
Ts,Kh,Q,0.59875
9s,Js,J,0.5975
Js,Qh,8,0.5975
2s,As,Q,0.596875
3s,Ah,5,0.596875
5s,As,2,0.596875
8s,Js,3,0.596875
8s,Js,A,0.59625
9s,Ts,8,0.59625
9s,Js,Q,0.59625
Ts,Jh,6,0.59625
8s,Kh,3,0.595625
5s,Kh,2,0.595
8s,Qh,6,0.595
8s,Ah,A,0.595
9s,Qh,2,0.595
9s,Qh,9,0.595
Js,Qh,3,0.595
2s,2h,A,0.594375
4s,Ah,7,0.594375
6s,Kh,J,0.594375
9s,Js,2,0.594375
Ts,Jh,7,0.594375
5s,Ks,5,0.59375
6s,Qh,3,0.59375
6s,Kh,5,0.59375
6s,Kh,7,0.59375
9s,Kh,9,0.59375
Ts,Jh,8,0.593125
Ts,Kh,7,0.593125
2s,As,8,0.5925
5s,Kh,Q,0.5925
7s,Qh,7,0.5925
8s,Kh,4,0.5925
9s,Ah,9,0.5925
7s,Ah,K,0.591875
9s,Qs,4,0.591875
9s,Ks,T,0.591875
Ts,Qh,5,0.591875
Ts,As,4,0.591875
3s,As,Q,0.59125
4s,4h,J,0.59125
4s,As,7,0.59125
6s,Ks,4,0.59125
9s,Qs,8,0.59125
5s,Ks,K,0.590625
6s,As,4,0.590625
6s,Ah,J,0.590625
9s,Th,Q,0.590625
9s,Ts,A,0.590625
2s,Qs,2,0.59
4s,4h,T,0.59
4s,Ks,8,0.59
7s,Qh,5,0.59
8s,Ks,7,0.59
8s,As,K,0.59
Ts,Ks,Q,0.59
Js,Kh,Q,0.59
5s,Kh,K,0.58875
6s,Ks,9,0.58875
6s,As,K,0.58875
9s,Qs,9,0.58875
4s,4h,3,0.588125
6s,Kh,A,0.588125
4s,4h,5,0.5875
9s,Ts,9,0.5875
9s,Kh,2,0.5875
4s,Ah,A,0.586875
8s,Kh,Q,0.586875
9s,Th,3,0.586875
4s,As,4,0.58625
6s,Ah,K,0.58625
7s,Kh,Q,0.58625
8s,Kh,T,0.58625
8s,Ah,5,0.58625
8s,Ah,K,0.58625
5s,Qs,K,0.585625
6s,Js,9,0.585625
Qs,Kh,J,0.585625
7s,Ah,6,0.585
8s,Ks,5,0.585
9s,Qs,Q,0.585
2s,As,A,0.584375
6s,As,2,0.584375
6s,As,6,0.584375
8s,Qs,9,0.584375
8s,Ah,9,0.584375
9s,Jh,4,0.584375
9s,Qs,2,0.584375
Ts,Kh,2,0.584375
Ts,Ks,3,0.584375
2s,Ks,2,0.58375
3s,Ah,7,0.58375
5s,Kh,4,0.58375
Ts,Qh,8,0.58375
Ts,Qs,A,0.58375
Js,Qs,J,0.58375
Qs,Ah,K,0.58375
2s,Qs,3,0.583125
3s,3h,2,0.583125
6s,Ah,Q,0.583125
7s,Kh,3,0.583125
9s,Qh,T,0.583125
9s,Kh,3,0.583125
Ts,Jh,2,0.583125
5s,Kh,7,0.5825
6s,Kh,3,0.5825
2s,2h,7,0.581875
3s,Ks,3,0.581875
5s,Ah,3,0.581875
8s,9s,Q,0.581875
8s,Qs,T,0.581875
Ts,Qh,K,0.581875
3s,Kh,6,0.58125
4s,As,2,0.58125
6s,Kh,2,0.58125
9s,Ah,3,0.58125
Qs,Kh,7,0.58125
Ks,Ah,6,0.58125
Ts,Qh,4,0.580625
5s,Ks,Q,0.58
9s,Qh,A,0.58
5s,Ks,9,0.579375
Ts,Js,3,0.579375
5s,5h,T,0.57875
7s,Qs,Q,0.57875
9s,Jh,8,0.57875
9s,As,K,0.57875
Ts,Js,5,0.57875
Ts,Kh,6,0.57875
4s,Kh,A,0.578125
8s,Ts,6,0.578125
6s,Ks,J,0.5775
4s,4h,A,0.576875
5s,As,3,0.576875
9s,Js,A,0.576875
3s,Ah,6,0.57625
5s,Js,K,0.57625
8s,9s,5,0.57625
9s,Ks,7,0.57625
5s,Ks,6,0.575625
Js,Qh,5,0.575625
9s,Ts,5,0.575
Ts,Js,J,0.575
Js,Qh,6,0.575
3s,As,3,0.574375
9s,Kh,7,0.574375
2s,Ks,5,0.57375
6s,Ah,T,0.57375
7s,Ks,7,0.57375
9s,Jh,2,0.57375
6s,Kh,Q,0.573125
7s,Ks,9,0.573125
8s,Js,Q,0.573125
Ts,Ks,6,0.573125
7s,9h,K,0.5725
7s,Qh,3,0.5725
Js,Qh,T,0.571875
2s,As,T,0.57125
5s,As,Q,0.57125
Ts,Jh,T,0.57125
2s,Ah,6,0.570625
3s,Ah,9,0.570625
2s,2h,8,0.57
3s,Ah,3,0.57
4s,4h,Q,0.57
4s,As,6,0.57
Js,Qh,A,0.57
7s,Qh,T,0.569375
9s,Kh,5,0.569375
9s,Ah,Q,0.56875
Ts,Kh,4,0.56875
6s,Js,A,0.568125
8s,Jh,2,0.568125
9s,Th,4,0.568125
9s,Qh,5,0.568125
3s,As,T,0.5675
5s,5h,2,0.5675
Ts,Js,7,0.5675
Ts,Jh,9,0.5675
6s,Kh,6,0.566875
6s,As,3,0.566875
6s,As,T,0.566875
7s,Qs,A,0.566875
8s,As,Q,0.566875
9s,Kh,8,0.566875
9s,As,A,0.566875
Ts,Js,K,0.566875
4s,Kh,K,0.56625
4s,Ah,4,0.56625
Js,Qh,7,0.56625
Qs,Kh,9,0.56625
