C1,C2,Bounty,Strength
2s,3s,4,0.4275
2s,8h,4,0.4275
4s,6h,A,0.4272
2s,6s,K,0.42705
3s,8h,A,0.4269
2s,6s,3,0.4267
4s,6h,T,0.42665
2s,8h,3,0.42635
3s,8h,J,0.4263
2s,8h,7,0.4261
4s,6h,K,0.4261
2s,8h,9,0.42575
2s,8h,A,0.42545
2s,6s,8,0.42525
3s,8h,5,0.42485
2s,5s,T,0.4244
2s,4s,K,0.4236
3s,7h,5,0.42355
2s,3s,A,0.4235
2s,4s,Q,0.4235
2s,3s,6,0.4223
2s,5s,J,0.4219
2s,4s,J,0.4217
3s,5h,T,0.42145
3s,5h,6,0.42105
2s,3s,J,0.421
3s,6h,4,0.42085
3s,8h,Q,0.4203
2s,8h,5,0.41995
2s,4s,8,0.41975
3s,6h,J,0.4191
3s,7h,2,0.41875
2s,4s,9,0.41795
2s,8h,Q,0.41735
3s,7h,4,0.41705
3s,6h,5,0.41675
3s,7h,Q,0.41675
2s,8h,T,0.41665
3s,7h,8,0.4166
3s,7h,A,0.4164
3s,6h,2,0.4161
3s,7h,T,0.416
3s,4h,5,0.41545
3s,6h,Q,0.4154
3s,7h,9,0.41515
2s,8h,6,0.41505
2s,8h,J,0.415
2s,3s,8,0.41395
2s,4s,T,0.41385
3s,5h,K,0.41375
3s,6h,9,0.4135
2s,3s,Q,0.41285
3s,6h,A,0.41255
3s,5h,9,0.4116
2s,5h,4,0.4114
3s,6h,T,0.4112
2s,3s,9,0.41095
3s,5h,8,0.41025
3s,6h,7,0.4101
3s,5h,7,0.4098
3s,5h,A,0.4096
2s,4s,7,0.40915
2s,3s,K,0.4083
2s,3s,7,0.40805
3s,7h,K,0.4069
3s,4h,9,0.40685
3s,4h,2,0.40655
3s,5h,Q,0.40605
3s,4h,T,0.4049
3s,4h,A,0.4046
3s,4h,6,0.40415
3s,7h,J,0.40395
3s,5h,J,0.4035
3s,6h,8,0.4018
3s,4h,J,0.4017
2s,7h,5,0.4016
3s,6h,K,0.4015
3s,4h,7,0.40055
2s,5h,8,0.4
2s,7h,J,0.3999
2s,7h,3,0.39945
2s,7h,6,0.39925
2s,7h,4,0.399
2s,3s,T,0.39855
2s,5h,3,0.398
2s,7h,8,0.39785
2s,7h,9,0.3961
3s,4h,8,0.39575
2s,6h,4,0.39515
3s,4h,K,0.3948
2s,5h,J,0.3947
2s,4h,3,0.39455
3s,4h,Q,0.3942
2s,7h,Q,0.39405
2s,5h,Q,0.3939
2s,6h,3,0.39375
2s,7h,A,0.3935
2s,7h,T,0.39345
2s,6h,9,0.39335
2s,5h,9,0.3931
2s,4h,5,0.39165
2s,5h,6,0.39045
2s,6h,5,0.3893
2s,4h,6,0.38915
2s,7h,K,0.38905
2s,5h,K,0.3886
2s,5h,A,0.3872
2s,6h,J,0.38695
2s,6h,K,0.3867
2s,6h,A,0.38655
2s,5h,7,0.38615
2s,6h,7,0.38585
2s,6h,8,0.38545
2s,6h,Q,0.38425
2s,5h,T,0.38345
2s,6h,T,0.38295
2s,3h,4,0.3814
2s,4h,9,0.37955
2s,3h,5,0.3792
2s,4h,8,0.37715
2s,3h,A,0.3759
2s,4h,T,0.3757
2s,4h,A,0.37525
2s,4h,J,0.3751
2s,4h,7,0.37455
2s,4h,K,0.3745
2s,4h,Q,0.37325
2s,3h,K,0.3722
2s,3h,9,0.3705
2s,3h,6,0.3694
2s,3h,J,0.36755
2s,3h,T,0.36715
2s,3h,7,0.36575
2s,3h,Q,0.36195
2s,3h,8,0.36125
