C1,C2,Bounty,Strength
6s,6h,J,0.73235
Js,Ks,T,0.73235
Js,Ks,Q,0.73225
8s,Th,8,0.7312
Ts,Ah,5,0.731
Js,Ks,6,0.73005
Qs,Ks,4,0.73005
7s,Jh,J,0.72965
8s,As,2,0.7295
Ts,Ks,A,0.7295
9s,As,K,0.7294
Js,Ah,4,0.7294
9s,As,8,0.7292
Ts,Ah,2,0.72905
Js,Ks,8,0.72895
9s,As,3,0.7287
Qs,Ks,7,0.7282
Ts,Ah,8,0.72805
9s,Ah,T,0.72755
Js,Ks,4,0.7275
8s,As,K,0.7272
Qs,Kh,J,0.7272
4s,Js,4,0.72695
Qs,Ks,5,0.72695
8s,As,6,0.72685
8s,As,9,0.72645
Ts,Ah,4,0.7264
7s,Jh,7,0.7261
8s,As,7,0.72595
Ts,Ah,7,0.72495
3s,Js,J,0.7249
9s,As,4,0.72465
9s,As,T,0.72445
Ts,Ks,5,0.7239
4s,Js,J,0.72255
Ts,Ks,9,0.7225
8s,As,J,0.7222
7s,8s,8,0.722
Ts,Ks,7,0.7215
8s,As,T,0.72125
Qs,Kh,6,0.7204
Ts,Ks,Q,0.7198
8s,As,Q,0.7193
3s,Qh,3,0.71905
6s,Ts,6,0.719
5s,5h,3,0.71895
9s,Ah,7,0.71885
Qs,Kh,A,0.7183
7s,As,K,0.71825
8s,As,3,0.71815
Js,Ks,3,0.7169
8s,9h,9,0.71685
8s,As,5,0.71675
Qs,Kh,4,0.71635
Ts,Ks,2,0.71615
8s,As,4,0.7161
Ts,Ks,3,0.7161
Js,Kh,A,0.7161
Ts,Ks,J,0.7157
Qs,Kh,7,0.7157
Ts,Ks,8,0.71555
Qs,Kh,T,0.71555
7s,As,J,0.7149
Js,Kh,9,0.7146
6s,Ts,T,0.7141
7s,9s,9,0.71395
Ts,Ks,4,0.71385
Qs,Kh,9,0.71345
7s,As,3,0.7131
8s,9h,8,0.713
3s,Qh,Q,0.71275
9s,Ah,2,0.71245
7s,As,2,0.7122
7s,As,6,0.71185
9s,Ah,Q,0.7116
Qs,Kh,3,0.71135
5s,5h,4,0.71125
9s,Ah,6,0.71125
Js,Qs,K,0.7111
Qs,Kh,5,0.7111
9s,Ah,8,0.7109
7s,As,4,0.7107
4s,Qh,Q,0.71035
6s,As,5,0.71025
9s,Ks,T,0.7102
Qs,Kh,2,0.7102
7s,Th,7,0.70995
Js,Kh,5,0.70985
3s,Js,3,0.7096
6s,Jh,J,0.70955
7s,As,9,0.70915
Ts,Ks,6,0.70915
5s,5h,Q,0.70905
6s,Jh,6,0.70895
7s,As,8,0.7089
Js,Kh,3,0.7089
Js,Qs,T,0.70885
5s,5h,2,0.7087
Qs,Kh,8,0.70865
5s,As,K,0.7085
5s,5h,7,0.7081
Js,Kh,2,0.7081
7s,As,Q,0.70805
5s,5h,9,0.70795
9s,Ks,J,0.70745
Js,Qs,2,0.707
Js,Kh,T,0.70685
6s,As,J,0.7068
9s,Ks,Q,0.7064
6s,As,3,0.70605
Js,Kh,8,0.706
7s,8s,7,0.70535
8s,Ah,K,0.70535
9s,Ah,J,0.7052
5s,5h,A,0.7051
5s,As,3,0.7051
9s,Ks,A,0.7049
Js,Qs,A,0.7043
6s,As,Q,0.7037
Ts,Kh,Q,0.7034
2s,Qh,2,0.7033
8s,Ah,3,0.703
5s,5h,8,0.70285
5s,Jh,5,0.7028
5s,As,4,0.7028
7s,As,T,0.70275
9s,Ah,4,0.70265
Js,Kh,7,0.70245
8s,Ah,5,0.7019
Ts,Kh,J,0.7019
Js,Kh,Q,0.7015
5s,5h,J,0.70135
Ts,Kh,3,0.70135
Js,Qs,6,0.70135
8s,Ah,Q,0.70095
5s,5h,6,0.7008
5s,Ts,T,0.70055
Ts,Kh,4,0.70045
Js,Qs,9,0.70025
6s,9s,6,0.70005
2s,Js,2,0.69995
7s,As,5,0.6999
Js,Qs,7,0.6999
Js,Kh,4,0.6998
Js,Qs,8,0.69975
9s,Ah,3,0.6995
6s,As,T,0.6993
